cos_theta,r,g,b
0.0,1.000002250974382,0.999999587491553,0.9999972738306075
9.5367431640625e-07,0.9999998628166907,0.9999977539903572,0.9999959164808322
3.814697265625e-06,0.9999926984075668,0.9999922535242111,0.9999918444510071
8.58306884765625e-06,0.9999807579388791,0.9999830862054521,0.9999850577996438
1.52587890625e-05,0.9999640417304745,0.9999702522213516,0.9999755566242767
2.384185791015625e-05,0.9999425502302901,0.9999537518341692,0.9999633410614946
3.4332275390625e-05,0.9999162840145002,0.9999335853812392,0.9999484112869721
4.673004150390625e-05,0.9998852437877016,0.9999097532750773,0.9999307675155231
6.103515625e-05,0.9998494303831532,0.9998822560035091,0.9999104100011565
7.724761962890625e-05,0.999808844763043,0.9998510941298265,0.9998873390371467
9.5367431640625e-05,0.9997634880188109,0.9998162682929628,0.9998615549561131
0.00011539459228515625,0.9997133613715045,0.9997777792076954,0.9998330581301098
0.0001373291015625,0.999658466172179,0.99973562766487,0.9998018489707309
0.00016117095947265625,0.9995988039023396,0.9996898145316495,0.9997679279292159
0.000186920166015625,0.9995343761744252,0.9996403407517841,0.9997312954965782
0.00021457672119140625,0.9994651847323335,0.9995872073459072,0.9996919522037359
0.000244140625,0.9993912314519886,0.9995304154118545,0.9996498986216537
0.00027561187744140625,0.9993125183419441,0.9994699661250035,0.999605135361499
0.000308990478515625,0.9992290475440373,0.9994058607386397,0.9995576630748072
0.00034427642822265625,0.999140821334075,0.9993381005843438,0.9995074824536553
0.0003814697265625,0.9990478421225663,0.9992666870724006,0.999454594230847
0.00042057037353515625,0.9989501124554868,0.9991916216922376,0.9993989991801112
0.000461578369140625,0.9988476350150959,0.999112906012875,0.9993406981163059
0.0005044937133789062,0.998740412620785,0.9990305416834085,0.9992796918956366
0.00054931640625,0.9986284482299629,0.998944530433513,0.9992159814158832
0.0005960464477539062,0.9985117449389911,0.9988548740739609,0.9991495676166368
0.000644683837890625,0.9983903059841532,0.9987615744971728,0.999080451479548
0.0006952285766601562,0.9982641347426537,0.9986646336777876,0.9990086340285846
0.0007476806640625,0.9981332347336759,0.9985640536732469,0.9989341163303007
0.0008020401000976562,0.997997609619454,0.9984598366244166,0.998856899494113
0.000858306884765625,0.997857263206404,0.9983519847562149,0.9987769846725919
0.0009164810180664062,0.997712199446282,0.9982405003782717,0.9986943730617581
0.0009765625,0.997562422437374,0.9981253858856071,0.9986090659013923
0.0010385513305664062,0.9974079364257434,0.9980066437593265,0.9985210644753519
0.001102447509765625,0.997248745806486,0.9978842765673495,0.9984303701119023
0.0011682510375976562,0.9970848551250473,0.9977582869651413,0.9983369841840529
0.0012359619140625,0.9969162690785583,0.9976286776964852,0.9982409081099071
0.0013055801391601562,0.9967429925172206,0.9974954515942568,0.9981421433530172
0.001377105712890625,0.996565030445706,0.997358611581236,0.9980406914227568
0.0014505386352539062,0.9963823880246157,0.9972181606709252,0.9979365538746946
0.00152587890625,0.9961950705719532,0.997074101968397,0.9978297323109815
0.0016031265258789062,0.9960030835646415,0.9969264386711562,0.9977202283807487
0.001682281494140625,0.9958064326400677,0.9967751740700254,0.9976080437805127
0.0017633438110351562,0.9956051235976656,0.9966203115500473,0.9974931802545907
0.0018463134765625,0.995399162400523,0.9964618545914077,0.9973756395955259
0.0019311904907226562,0.9951885551770276,0.9962998067703783,0.9972554236445207
0.002017974853515625,0.9949733082225397,0.9961341717602757,0.99713253429188
0.0021066665649414062,0.9947534280010955,0.9959649533324414,0.9970069734774641
0.002197265625,0.9945289211471385,0.9957921553572392,0.9968787431911508
0.0022897720336914062,0.9942997944672906,0.9956157818050698,0.9967478454733035
0.002384185791015625,0.9940660549421315,0.9954358367474067,0.9966142824152514
0.0024805068969726562,0.9938277097280279,0.9952523243578438,0.9964780561597798
0.0025787353515625,0.9935847661589727,0.9950652489131665,0.9963391689016238
0.0026788711547851562,0.9933372317484638,0.9948746147944342,0.9961976228879751
0.002780914306640625,0.9930851141913999,0.9946804264880849,0.9960534204189968
0.0028848648071289062,0.9928284213660037,0.9944826885870497,0.9959065638483443
0.00299072265625,0.9925671613357755,0.9942814057918914,0.9957570555836989
0.0030984878540039062,0.9923013423514584,0.9940765829119521,0.9956048980873026
0.003208160400390625,0.9920309728530406,0.9938682248665196,0.995450093876511
0.0033197402954101562,0.9917560614717741,0.993656336686005,0.9952926455243443
